"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.185422000E0,3.270698547E-1,1.980681152E0,9.363777924E0
1.195354000E0,2.168989563E-1,2.121987305E0,9.194929047E0
1.205287000E0,2.389031982E-1,2.519261169E0,9.229507141E0
1.215219000E0,1.917512512E-1,2.835254059E0,9.145382080E0
1.225152000E0,5.688171387E-3,2.873574371E0,9.136849823E0
1.235084000E0,1.106199646E-1,2.810405731E0,9.446106720E0
1.245017000E0,2.344125366E-1,2.700534210E0,9.595046997E0
1.254950000E0,2.941383362E-1,2.605032806E0,9.530680847E0
1.264882000E0,4.077520752E-1,2.511926422E0,9.611961823E0
1.274815000E0,4.778063965E-1,2.431244202E0,9.923613739E0
1.284747000E0,5.101391602E-1,2.385289764E0,1.008437943E1
1.294680000E0,6.111790466E-1,2.434387665E0,1.014829651E1
1.304612000E0,7.265890503E-1,2.513423309E0,1.021266266E1
1.314545000E0,7.578739929E-1,2.543510742E0,1.018811371E1
1.324478000E0,6.650669861E-1,2.423011322E0,1.011716125E1
1.334410000E0,3.763174438E-1,2.149230652E0,1.007075775E1
1.344343000E0,2.155517578E-2,1.972148895E0,1.042836411E1
1.354275000E0,-1.435514832E-1,1.870210876E0,1.079704742E1
1.364208000E0,-2.106120300E-1,1.676214294E0,1.121692429E1
1.374140000E0,-2.903961182E-1,1.372495880E0,1.151675079E1
1.384073000E0,-4.700225830E-1,1.146914978E0,1.152543274E1
1.394006208E0,-5.138813782E-1,9.815089417E-1,1.131152756E1
1.403938208E0,-5.348377991E-1,7.753875732E-1,1.120554794E1
1.413871208E0,-6.569837952E-1,5.893244934E-1,1.156165741E1
1.423803208E0,-8.443940735E-1,4.266128540E-1,1.204290665E1
1.433736208E0,-1.024319916E0,3.520678711E-1,1.245065872E1
1.443668208E0,-1.170715485E0,2.588117981E-1,1.275093430E1
1.453601208E0,-1.265917511E0,1.980381775E-1,1.266950363E1
1.463534208E0,-1.282233582E0,1.526824951E-1,1.220172638E1
1.473466208E0,-1.143921204E0,2.020797729E-1,1.140059235E1
1.483399208E0,-8.978329468E-1,2.821632385E-1,1.046578629E1
1.493331208E0,-6.812333679E-1,3.459306335E-1,9.747130737E0
