"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.390280208E0,4.786805212E-1,5.110018253E-1,1.409043223E-1
1.400213208E0,5.345616937E-1,5.446069241E-1,1.519082487E-1
1.410145208E0,4.936672449E-1,5.611257553E-1,1.412201822E-1
1.420078208E0,3.512862921E-1,5.133976340E-1,1.165096983E-1
1.430011208E0,1.488793939E-1,3.967477381E-1,9.856878221E-2
1.439943208E0,-5.351088569E-2,2.251242995E-1,7.854744792E-2
1.449876208E0,-1.882636398E-1,1.784834638E-2,5.307884142E-2
1.459808208E0,-2.060381472E-1,-1.887971759E-1,2.849505469E-2
1.469741208E0,-1.086833701E-1,-3.305521905E-1,1.802963018E-2
1.479673208E0,6.136509776E-2,-3.743638992E-1,2.404772118E-2
1.489606208E0,2.285943180E-1,-3.202724457E-1,5.050356314E-2
1.499539208E0,3.492624760E-1,-2.265227586E-1,8.724915981E-2
1.509471208E0,3.799540997E-1,-1.318471134E-1,1.492986828E-1
1.519404208E0,3.174138367E-1,-6.228322908E-2,2.194030285E-1
1.529336208E0,1.663209796E-1,-8.514271118E-3,2.779427767E-1
1.539269208E0,-1.445129886E-2,-9.109491482E-3,3.277265131E-1
1.549201208E0,-1.684368700E-1,-2.766400203E-2,3.870034218E-1
1.559134208E0,-2.562780082E-1,-3.353045881E-2,4.290551543E-1
1.569067208E0,-2.657295763E-1,-5.760649964E-2,4.068497419E-1
1.578999208E0,-2.312022150E-1,-8.410140872E-2,3.144322336E-1
1.588932208E0,-1.504788697E-1,-8.803515881E-2,2.116102278E-1
1.598864208E0,-6.147480011E-2,-6.596772373E-2,1.606444418E-1
1.608797208E0,-1.351579744E-2,-1.631335169E-2,1.487792581E-1
1.618729208E0,-4.020229913E-3,1.245705318E-2,1.373983920E-1
1.628662208E0,-1.164272986E-2,2.145187929E-2,1.375374049E-1
1.638595208E0,4.257252440E-3,5.356241763E-2,1.411689371E-1
1.648527208E0,4.853257164E-2,1.105071902E-1,1.386834085E-1
1.658460208E0,1.123373955E-1,1.616512537E-1,1.347860098E-1
1.668392208E0,1.592796147E-1,1.767071784E-1,1.316730529E-1
1.678325208E0,1.668550074E-1,1.540570259E-1,1.230646223E-1
1.688257208E0,1.444567591E-1,1.104256660E-1,1.116686910E-1
1.698190208E0,9.661278874E-2,5.539119616E-2,9.610576183E-2
1.708123208E0,4.040757567E-2,-1.358631067E-3,8.256971091E-2
1.718055208E0,-1.107625756E-2,-4.325150698E-2,7.844872773E-2
1.727988208E0,-3.358076885E-2,-6.425133348E-2,7.368992269E-2
1.737920208E0,-2.712417394E-2,-6.762687117E-2,6.948316097E-2
1.747853208E0,3.231601091E-3,-7.813730091E-2,6.550040096E-2
1.757785208E0,3.243209794E-2,-7.995250821E-2,6.827728450E-2
1.767718208E0,3.436635062E-2,-7.154358178E-2,7.548965514E-2
1.777651208E0,3.011974320E-2,-6.731793284E-2,8.254796267E-2
1.787583208E0,1.934086531E-2,-5.876998603E-2,1.002942026E-1
1.797516208E0,-2.996530384E-7,-5.150222778E-2,1.117499694E-1
1.807448208E0,-2.219721489E-2,-3.641115874E-2,1.313202083E-1
1.817381208E0,-4.436601326E-2,-3.180282563E-2,1.470873952E-1
1.827313208E0,-6.830143929E-2,-3.522525728E-2,1.525671184E-1
1.837246208E0,-9.535185993E-2,-4.360758886E-2,1.474216580E-1
1.847178208E0,-1.239502206E-1,-5.484399945E-2,1.249030307E-1
1.857111208E0,-1.436665654E-1,-6.422758102E-2,1.024061069E-1
1.867044208E0,-1.400422752E-1,-7.982970774E-2,7.728850842E-2
1.876976208E0,-1.177248657E-1,-1.002899706E-1,5.772097781E-2
1.886909208E0,-8.202918619E-2,-1.209872589E-1,3.766018525E-2
1.896841208E0,-3.310481831E-2,-1.453568488E-1,2.576278523E-2
1.906774208E0,8.940369822E-3,-1.597871780E-1,2.092249133E-2
1.916707208E0,3.758598119E-2,-1.598281413E-1,2.192843519E-2
1.926639208E0,4.880055040E-2,-1.516692787E-1,2.739484049E-2
1.936572208E0,4.320604354E-2,-1.542185098E-1,3.717660904E-2
1.946504208E0,2.165334672E-2,-1.509457529E-1,5.053129420E-2
1.956437208E0,-1.008640742E-3,-1.470963955E-1,6.386805326E-2
1.966369208E0,-2.608469874E-2,-1.530107409E-1,7.041516900E-2
1.976302208E0,-3.518877178E-2,-1.505060792E-1,7.342888415E-2
1.986235208E0,-1.662360877E-2,-1.530169100E-1,7.891073078E-2
1.996167208E0,1.526875049E-2,-1.602789611E-1,8.734171093E-2
2.006100208E0,4.261621833E-2,-1.557888687E-1,1.019470245E-1
2.016032208E0,6.154364347E-2,-1.474956125E-1,1.175233945E-1
2.025965208E0,6.408403069E-2,-1.180929765E-1,1.349130273E-1
2.035897208E0,5.648861080E-2,-8.127928525E-2,1.575554162E-1
2.045830208E0,7.339941710E-2,-4.787179083E-2,1.727650017E-1
2.055763208E0,1.131174937E-1,-2.952633426E-2,1.697956622E-1
2.065695208E0,1.263829619E-1,-2.978119813E-2,1.531301290E-1
2.075628208E0,7.917653769E-2,-5.167909712E-2,1.319465637E-1
2.085560208E0,6.239209324E-3,-9.419993311E-2,1.058672965E-1
2.095493208E0,-5.109177902E-2,-9.451383352E-2,8.911431581E-2
2.105425208E0,-7.226817310E-2,-7.360296696E-2,7.272762060E-2
2.115358208E0,-6.668084860E-2,-3.547029570E-2,5.919415504E-2
2.125291208E0,-3.544729203E-2,3.354738653E-2,4.195977375E-2
2.135223208E0,6.786634214E-3,1.006093025E-1,2.936828882E-2
2.145156208E0,2.089046873E-2,1.440345347E-1,2.070582658E-2
2.155088208E0,2.429146320E-3,1.750646532E-1,8.872666396E-3
2.165021208E0,-2.590821870E-2,2.076122165E-1,-1.656291820E-2
2.174953208E0,-2.408231422E-2,2.071905136E-1,-3.665346280E-2
2.184886208E0,5.298504233E-2,1.677554995E-1,-4.516838863E-2
2.194819208E0,2.001465410E-1,1.073745266E-1,-4.992263019E-2
2.204751208E0,3.621501029E-1,5.962138623E-2,-4.585917667E-2
2.214684208E0,4.637189507E-1,-9.510288946E-3,-4.527013749E-2
2.224616208E0,5.602508187E-1,-7.540435344E-2,-7.559394836E-2
