"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.758375575E1,-3.114466667E1,-4.058639526E0,-3.106109619E1
7.759368775E1,-3.159145164E1,-3.947303772E0,-3.103436279E1
7.760362075E1,-3.153888130E1,-3.832183838E0,-3.092547607E1
7.761355375E1,-3.153915596E1,-3.777366638E0,-3.088275146E1
7.762348675E1,-3.159911919E1,-3.631713867E0,-3.114315796E1
7.763341875E1,-3.193388557E1,-3.398674011E0,-3.081176758E1
7.764335175E1,-3.185914803E1,-3.435890198E0,-3.076754761E1
7.765328475E1,-3.223086548E1,-2.853797913E0,-3.076007080E1
7.766321675E1,-3.197006416E1,-3.117240906E0,-3.029263306E1
7.767314975E1,-3.197006416E1,-3.117240906E0,-3.029263306E1
7.768308275E1,-3.236447144E1,-2.523223877E0,-3.069869995E1
7.769301575E1,-3.220692444E1,-2.766929626E0,-3.090768433E1
7.770294775E1,-3.284295654E1,-2.567123413E0,-3.114862061E1
7.771288075E1,-3.246584320E1,-2.953094482E0,-3.098333740E1
7.772281375E1,-3.277678680E1,-2.361167908E0,-3.093966675E1
7.773274675E1,-3.276681519E1,-2.592185974E0,-3.095672607E1
7.774267875E1,-3.312817383E1,-2.171714783E0,-3.156253052E1
7.775261175E1,-3.291232300E1,-2.391540527E0,-3.126080322E1
7.776254475E1,-3.340363312E1,-1.951202393E0,-3.097958374E1
7.777247775E1,-3.342492676E1,-2.173377991E0,-3.121307373E1
7.778240975E1,-3.368758392E1,-2.057746887E0,-3.066506958E1
7.779234275E1,-3.331858826E1,-2.376846313E0,-3.085894775E1
7.780227575E1,-3.362928009E1,-1.556579590E0,-3.109353638E1
7.781220875E1,-3.351629639E1,-1.874633789E0,-3.086135864E1
7.782214075E1,-3.360705566E1,-1.235717773E0,-3.126541138E1
7.783207375E1,-3.354195404E1,-1.370788574E0,-3.077801514E1
7.784200675E1,-3.393500519E1,-6.621475220E-1,-3.092166138E1
7.785193875E1,-3.380343628E1,-8.305587769E-1,-3.080938721E1
7.786187175E1,-3.420800018E1,-1.974639893E-1,-3.101226807E1
7.787180475E1,-3.397067261E1,-6.515884399E-1,-3.094744873E1
7.788173775E1,-3.412614441E1,-9.542083740E-2,-3.096328735E1
7.789166975E1,-3.401971436E1,-5.379562378E-1,-3.092520142E1
7.790160275E1,-3.436911011E1,-6.091308594E-2,-3.109930420E1
7.791153575E1,-3.433560944E1,-2.854156494E-1,-3.101937866E1
7.792146875E1,-3.447939301E1,3.312911987E-1,-3.111148071E1
7.793140075E1,-3.442973328E1,7.192993164E-2,-3.095755005E1
7.794133375E1,-3.454277039E1,6.065979004E-1,-3.143533325E1
7.795126675E1,-3.454421234E1,4.708175659E-1,-3.142550659E1
7.796119975E1,-3.455121613E1,1.090095520E0,-3.151202393E1
7.797113175E1,-3.443481445E1,1.035385132E0,-3.170989990E1
7.798106475E1,-3.457381439E1,1.663887024E0,-3.198239136E1
7.799099775E1,-3.442510223E1,1.341682434E0,-3.162435913E1
7.800093075E1,-3.465691376E1,1.957832336E0,-3.198883057E1
7.801086275E1,-3.454074097E1,1.503440857E0,-3.195843506E1
7.802079575E1,-3.462929535E1,2.109413147E0,-3.197329712E1
7.803072875E1,-3.437850952E1,1.569297791E0,-3.195217896E1
7.804066175E1,-3.462469482E1,1.935089111E0,-3.207373047E1
7.805059375E1,-3.463256073E1,1.326461792E0,-3.233349609E1
7.806052675E1,-3.502680969E1,1.974365234E0,-3.236071777E1
7.807045975E1,-3.474856567E1,1.497901917E0,-3.235516357E1
7.808039175E1,-3.494107056E1,2.032981873E0,-3.250799561E1
7.809032475E1,-3.483095551E1,1.826263428E0,-3.255905151E1
7.810025775E1,-3.491483307E1,2.382041931E0,-3.253546143E1
7.811019075E1,-3.461544037E1,1.922042847E0,-3.253955078E1
7.812012275E1,-3.503354645E1,2.402267456E0,-3.297680664E1
7.813005575E1,-3.458631897E1,1.941780090E0,-3.283300781E1
7.813998875E1,-3.497502899E1,2.691871643E0,-3.308987427E1
7.814992175E1,-3.472248840E1,2.116706848E0,-3.307250977E1
7.815985375E1,-3.495233917E1,2.510520935E0,-3.326599121E1
7.816978675E1,-3.470783997E1,1.971420288E0,-3.303152466E1
7.817971975E1,-3.488678741E1,2.725547791E0,-3.308532715E1
7.818965275E1,-3.477874756E1,2.113655090E0,-3.371588135E1
7.819958475E1,-3.501831818E1,2.576698303E0,-3.374169922E1
7.820951775E1,-3.457910156E1,2.194244385E0,-3.379144287E1
7.821945075E1,-3.480907440E1,2.600936890E0,-3.374102783E1
7.822938375E1,-3.484603119E1,2.156616211E0,-3.384671021E1
7.823931575E1,-3.529154968E1,2.886116028E0,-3.416711426E1
7.824924875E1,-3.502869415E1,2.142509460E0,-3.384835815E1
7.825918175E1,-3.515959930E1,2.672309875E0,-3.416564941E1
7.826911475E1,-3.493704224E1,2.192726135E0,-3.400677490E1
7.827904675E1,-3.524049377E1,2.875999451E0,-3.418936157E1
7.828897975E1,-3.510101318E1,2.072189331E0,-3.423690796E1
7.829891275E1,-3.517272949E1,2.771797180E0,-3.457519531E1
7.830884475E1,-3.504746246E1,2.246963501E0,-3.443539429E1
7.831877775E1,-3.520160675E1,3.068504333E0,-3.497616577E1
7.832871075E1,-3.508815765E1,2.384941101E0,-3.460241699E1
7.833864375E1,-3.529586792E1,2.902412415E0,-3.468960571E1
7.834857575E1,-3.492042542E1,2.306442261E0,-3.467700195E1
